{'type': 'down', 'input': 'r', 'position': (1431, 694), 'timestamp': 1697519557.0778198}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519557.1108277}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519557.2068493}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519557.2338552}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519557.5717735}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519557.59978}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519557.8408375}
{'type': 'down', 'input': 'd', 'position': (1431, 694), 'timestamp': 1697519557.9268563}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519558.0667639}
{'type': 'down', 'input': 'f', 'position': (1431, 694), 'timestamp': 1697519558.405448}
{'type': 'down', 'input': 'x', 'position': (1431, 694), 'timestamp': 1697519558.8727922}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519559.001743}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519559.0067444}
{'type': 'down', 'input': 'x', 'position': (1431, 694), 'timestamp': 1697519559.1357815}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519559.237804}
{'type': 'down', 'input': 'x', 'position': (1431, 694), 'timestamp': 1697519559.3398325}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519559.442867}
{'type': 'down', 'input': 'x', 'position': (1431, 694), 'timestamp': 1697519559.5548952}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519559.6627429}
{'type': 'down', 'input': 'z', 'position': (1431, 694), 'timestamp': 1697519559.7697675}
{'type': 'up', 'input': None, 'position': (1431, 694), 'timestamp': 1697519559.904802}
{'type': 'down', 'input': '4', 'position': (910, 724), 'timestamp': 1697519563.4152334}
{'type': 'up', 'input': None, 'position': (919, 727), 'timestamp': 1697519563.5382605}
